"MosquitoID","Date.of.Collection","Marker","Size"
"03C-01"," 03/09/2014","AMEL",100.67
"03C-01"," 03/09/2014","D10S1248",100.48
"03C-01"," 03/09/2014","D10S1248",104.55
"03C-01"," 03/09/2014","D12S391",236.69
"03C-01"," 03/09/2014","D12S391",240.54
"03C-01"," 03/09/2014","D12S391",248.67
"03C-01"," 03/09/2014","D16S539",244.39
"03C-01"," 03/09/2014","D16S539",248.49
"03C-01"," 03/09/2014","D16S539",252.58
"03C-01"," 03/09/2014","D18S51",296.76
"03C-01"," 03/09/2014","D18S51",300.84
"03C-01"," 03/09/2014","D18S51",321.56
"03C-01"," 03/09/2014","D19S433",138.84
"03C-01"," 03/09/2014","D19S433",146.36
"03C-01"," 03/09/2014","D1S1656",194.28
"03C-01"," 03/09/2014","D1S1656",198.12
"03C-01"," 03/09/2014","D21S11",199.64
"03C-01"," 03/09/2014","D21S11",203.62
"03C-01"," 03/09/2014","D22S1045",98.3
"03C-01"," 03/09/2014","D22S1045",101.43
"03C-01"," 03/09/2014","D22S1045",104.55
"03C-01"," 03/09/2014","D2S1338",317.88
"03C-01"," 03/09/2014","D2S1338",321.99
"03C-01"," 03/09/2014","D2S441",87.7
"03C-01"," 03/09/2014","D2S441",91.78
"03C-01"," 03/09/2014","D2S441",99.72
"03C-01"," 03/09/2014","D3S1358",147.36
"03C-01"," 03/09/2014","D3S1358",155.36
"03C-01"," 03/09/2014","D8S1179",140.45
"03C-01"," 03/09/2014","D8S1179",153
"03C-01"," 03/09/2014","D8S1179",157.09
"03C-01"," 03/09/2014","FGA",239.56
"03C-01"," 03/09/2014","FGA",251.12
"03C-01"," 03/09/2014","FGA",254.81
"03C-01"," 03/09/2014","FGA",258.47
"03C-01"," 03/09/2014","SE33",348.71
"03C-01"," 03/09/2014","SE33",352.93
"03C-01"," 03/09/2014","SE33",355.09
"03C-01"," 03/09/2014","TH01",188.72
"03C-01"," 03/09/2014","TH01",192.67
"03C-01"," 03/09/2014","vWA",172.52
"03C-01"," 03/09/2014","vWA",176.44
"03C-01"," 03/09/2014","vWA",188.63
"03C-04"," 01/07/2014","",313.14
"03C-04"," 01/07/2014","AMEL",100.57
"03C-04"," 01/07/2014","D10S1248",100.38
"03C-04"," 01/07/2014","D12S391",240.54
"03C-04"," 01/07/2014","D12S391",257.45
"03C-04"," 01/07/2014","D16S539",244.3
"03C-04"," 01/07/2014","D16S539",252.5
"03C-04"," 01/07/2014","D16S539",256.52
"03C-04"," 01/07/2014","D18S51",296.69
